marketplace,categoria,titulo,ranking_venda,preco,link_produto,link_imagem_produto,data_extracao
Mercado Livre,Games,Cadeira de Escritório Pctop Office Fit 1001 9050 Ergonômica Preta com Estofado de Mesh y Tecido,1,195,https://www.mercadolivre.com.br/cadeira-de-escritorio-pctop-office-fit-1001-9050-ergonmica-preta-com-estofado-de-mesh-y-tecido/p/MLB17810620#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=1&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=830974f1-2ace-11f0-896c-ef58f407f176&c_element_id=830974f1-2ace-11f0-896c-ef58f407f176&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_971471-MLA46389734628_062021-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Games,Ssd M.2 Nvme 4.0 1tb Kingston Nv3 2280 6000mb/s E 4000 Mb/s Cor Azul-escuro,2,417,https://www.mercadolivre.com.br/ssd-m2-nvme-40-1tb-kingston-nv3-2280-6000mbs-e-4000-mbs-cor-azul-escuro/p/MLB39766120#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=2&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=830974f2-2ace-11f0-896c-ef58f407f176&c_element_id=830974f2-2ace-11f0-896c-ef58f407f176&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_821973-MLA81427650462_122024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Games,Controle Playstation 5 sem fio Dualsense Ps5 cor branco/preto,3,439,https://www.mercadolivre.com.br/controle-playstation-5-sem-fio-dualsense-ps5-cor-brancopreto/p/MLB16212928#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=3&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=830974f3-2ace-11f0-896c-ef58f407f176&c_element_id=830974f3-2ace-11f0-896c-ef58f407f176&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_653979-MLU75209281062_032024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Games,Console PlayStation 5 Midia Fisica Slim Branco 1TB Returnal e Ratchet e Clank Controle Sem Fio Dualsense Branco,4,3,https://www.mercadolivre.com.br/console-playstation-5-midia-fisica-slim-branco-1tb-returnal-e-ratchet-e-clank-controle-sem-fio-dualsense-branco/p/MLB39459985#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=4&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=830974f4-2ace-11f0-896c-ef58f407f176&c_element_id=830974f4-2ace-11f0-896c-ef58f407f176&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_697302-MLU78076147107_072024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Games,Controle Xbox Wireless Series X|s Carbon black,5,408,https://www.mercadolivre.com.br/controle-xbox-wireless-series-xs-carbon-black/p/MLB16268160#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=5&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=830974f5-2ace-11f0-896c-ef58f407f176&c_element_id=830974f5-2ace-11f0-896c-ef58f407f176&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_903265-MLU72824211081_112023-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Games,Fone De Ouvido Gamer Headset Ps4 Pc Xbox One Series S/x P2 Cor Preto,6,50,https://www.mercadolivre.com.br/fone-de-ouvido-gamer-headset-ps4-pc-xbox-one-series-sx-p2-cor-preto/p/MLB20352802#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=6&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=830974f6-2ace-11f0-896c-ef58f407f176&c_element_id=830974f6-2ace-11f0-896c-ef58f407f176&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_854867-MLU77348199261_062024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Games,Base De Carregamento Controle Dualsense Ps5 Sony CFI-ZDS1R,7,179,https://www.mercadolivre.com.br/base-de-carregamento-controle-dualsense-ps5-sony-cfi-zds1r/p/MLB41177605#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=7&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=830974f7-2ace-11f0-896c-ef58f407f176&c_element_id=830974f7-2ace-11f0-896c-ef58f407f176&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_630797-MLA79306814738_092024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Games,Controle Gamesir T4 Nova Lite Sem Fio Para Pc Switch Android Ios Steam Celular Hall Effect Cor Branco,8,202,https://www.mercadolivre.com.br/controle-gamesir-t4-nova-lite-sem-fio-para-pc-switch-android-ios-steam-celular-hall-effect-cor-branco/p/MLB36695087#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=8&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=830974f8-2ace-11f0-896c-ef58f407f176&c_element_id=830974f8-2ace-11f0-896c-ef58f407f176&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_769930-MLU77931866912_082024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Games,Headset Gamer Havit H2002d Fone de ouvido over-ear gamer Vermelho Compatível com PS4/PS5/xbox/One/Series/pc,9,254,https://www.mercadolivre.com.br/headset-gamer-havit-h2002d-fone-de-ouvido-over-ear-gamer-vermelho-compativel-com-ps4ps5xboxoneseriespc/p/MLB15830186#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=9&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=830974f9-2ace-11f0-896c-ef58f407f176&c_element_id=830974f9-2ace-11f0-896c-ef58f407f176&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_744659-MLU77327336701_062024-P.webp,2025-05-06 20:04:50.205833
Mercado Livre,Games,Ssd Kingston 480GB Sata III A400 SA400S37/480G Preto,10,284,https://www.mercadolivre.com.br/ssd-kingston-480gb-sata-iii-a400-sa400s37480g-preto/p/MLB27966626#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=10&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=830974fa-2ace-11f0-896c-ef58f407f176&c_element_id=830974fa-2ace-11f0-896c-ef58f407f176&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_603054-MLU72717454543_112023-P.webp,2025-05-06 20:04:50.205833
