marketplace,categoria,titulo,ranking_venda,preco,link_produto,link_imagem_produto,data_extracao
Mercado Livre,Games,Cadeira de Escritório Pctop Office Fit 1001 9050 Ergonômica Preta com Estofado de Mesh y Tecido,1,212,https://www.mercadolivre.com.br/cadeira-de-escritorio-pctop-office-fit-1001-9050-ergonmica-preta-com-estofado-de-mesh-y-tecido/p/MLB17810620#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=1&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=888203d1-2de8-11f0-90d2-934969bf1531&c_element_id=888203d1-2de8-11f0-90d2-934969bf1531&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_971471-MLA46389734628_062021-P.webp,2025-05-10 18:48:39.861476
Mercado Livre,Games,Console Sony PlayStation 5 Digital Slim 1TB – Branco + Jogos Returnal e Ratchet & Clank + Controle Sem Fio DualSense Branco,2,3,https://www.mercadolivre.com.br/console-sony-playstation-5-digital-slim-1tb-branco-jogos-returnal-e-ratchet-clank-controle-sem-fio-dualsense-branco/p/MLB37494438#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=2&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=888203d2-2de8-11f0-90d2-934969bf1531&c_element_id=888203d2-2de8-11f0-90d2-934969bf1531&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_797624-MLU77183763308_072024-P.webp,2025-05-10 18:48:39.861476
Mercado Livre,Games,Controle joystick sem fio Sony PlayStation 5 DualSense midnight black,3,449,https://www.mercadolivre.com.br/controle-joystick-sem-fio-sony-playstation-5-dualsense-midnight-black/p/MLB18010993#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=3&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=888203d3-2de8-11f0-90d2-934969bf1531&c_element_id=888203d3-2de8-11f0-90d2-934969bf1531&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_729596-MLA79693497087_102024-P.webp,2025-05-10 18:48:39.861476
Mercado Livre,Games,Controle Xbox Wireless Series X|s Carbon black,4,"390,91",https://www.mercadolivre.com.br/controle-xbox-wireless-series-xs-carbon-black/p/MLB16268160#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=4&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=888203d4-2de8-11f0-90d2-934969bf1531&c_element_id=888203d4-2de8-11f0-90d2-934969bf1531&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_903265-MLU72824211081_112023-P.webp,2025-05-10 18:48:39.861476
Mercado Livre,Games,Controle Manete Sem Fio Bluetooth Compatível Com Ps4 Pc Tv Cor Preto,5,"57,50",https://www.mercadolivre.com.br/controle-manete-sem-fio-bluetooth-compativel-com-ps4-pc-tv-cor-preto/p/MLB41346588#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=5&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=88822ae0-2de8-11f0-90d2-934969bf1531&c_element_id=88822ae0-2de8-11f0-90d2-934969bf1531&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_826648-MLA79687350213_102024-P.webp,2025-05-10 18:48:39.861476
Mercado Livre,Games,Fone De Ouvido Gamer Headset Ps4 Pc Xbox One Series S/x P2 Cor Preto,6,"40,59",https://www.mercadolivre.com.br/fone-de-ouvido-gamer-headset-ps4-pc-xbox-one-series-sx-p2-cor-preto/p/MLB20352802#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=6&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=88822ae1-2de8-11f0-90d2-934969bf1531&c_element_id=88822ae1-2de8-11f0-90d2-934969bf1531&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_854867-MLU77348199261_062024-P.webp,2025-05-10 18:48:39.861476
Mercado Livre,Games,SSD Crucial BX500 240GB Disco Rígido Interno Alta Velocidade Preto Modelo CT240BX500SSD1,7,"145,98",https://www.mercadolivre.com.br/ssd-crucial-bx500-240gb-disco-rigido-interno-alta-velocidade-preto-modelo-ct240bx500ssd1/p/MLB18102729#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=7&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=88822ae2-2de8-11f0-90d2-934969bf1531&c_element_id=88822ae2-2de8-11f0-90d2-934969bf1531&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_840019-MLU72566263316_112023-P.webp,2025-05-10 18:48:39.861476
Mercado Livre,Games,Controle Gamesir T4 Nova Lite Sem Fio Para Pc Switch Android Ios Steam Celular Hall Effect Cor Space Purple,8,221,https://www.mercadolivre.com.br/controle-gamesir-t4-nova-lite-sem-fio-para-pc-switch-android-ios-steam-celular-hall-effect-cor-space-purple/p/MLB35655836#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=8&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=88822ae3-2de8-11f0-90d2-934969bf1531&c_element_id=88822ae3-2de8-11f0-90d2-934969bf1531&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_743839-MLA80785848007_112024-P.webp,2025-05-10 18:48:39.861476
Mercado Livre,Games,SSD 240GB Kingston A400 SA400S37/240g Preto,9,154,https://www.mercadolivre.com.br/ssd-240gb-kingston-a400-sa400s37240g-preto/p/MLB34127308#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=9&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=88822ae4-2de8-11f0-90d2-934969bf1531&c_element_id=88822ae4-2de8-11f0-90d2-934969bf1531&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_787245-MLU74727519378_032024-P.webp,2025-05-10 18:48:39.861476
Mercado Livre,Games,Controle Compatível com Ps4 Pc TV Video Game Sem Fio Bluetooth Recarregavel,10,"57,50",https://www.mercadolivre.com.br/controle-compativel-com-ps4-pc-tv-video-game-sem-fio-bluetooth-recarregavel/p/MLB36928059#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=10&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=88822ae5-2de8-11f0-90d2-934969bf1531&c_element_id=88822ae5-2de8-11f0-90d2-934969bf1531&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_898654-MLU76183871170_052024-P.webp,2025-05-10 18:48:39.861476
Mercado Livre,Games,"SSD 1TB Sata 3.0 6 GB/s Interno SanDisk Plus SDSSDA-1T00-G27 2,5 Polegadas Velocidade de Leitura Até 535 MB/s e Gravação Até 350 MB/s Preto",11,385,https://www.mercadolivre.com.br/ssd-1tb-sata-30-6-gbs-interno-sandisk-plus-sdssda-1t00-g27-25-polegadas-velocidade-de-leitura-ate-535-mbs-e-gravaco-ate-350-mbs-preto/p/MLB23032508#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=11&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=88822ae6-2de8-11f0-90d2-934969bf1531&c_element_id=88822ae6-2de8-11f0-90d2-934969bf1531&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_836696-MLU69223186593_052023-P.webp,2025-05-10 18:48:39.861476
Mercado Livre,Games,Controle GameSir G7 SE com Fio para Xbox One Series S X PC Hall Effect Botões Mecânicos Cor Branco,12,"345,99",https://www.mercadolivre.com.br/controle-gamesir-g7-se-com-fio-para-xbox-one-series-s-x-pc-hall-effect-botoes-mecnicos-cor-branco/p/MLB24473062#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=12&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=88822ae7-2de8-11f0-90d2-934969bf1531&c_element_id=88822ae7-2de8-11f0-90d2-934969bf1531&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_744077-MLU72567983706_112023-P.webp,2025-05-10 18:48:39.861476
Mercado Livre,Games,SSD Kingston 240 Gb Cor Preto SA400 240G,13,"164,98",https://www.mercadolivre.com.br/ssd-kingston-240-gb-cor-preto-sa400-240g/p/MLB25836811#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=13&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=88822ae8-2de8-11f0-90d2-934969bf1531&c_element_id=88822ae8-2de8-11f0-90d2-934969bf1531&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_676255-MLU70909840907_082023-P.webp,2025-05-10 18:48:39.861476
Mercado Livre,Games,Controle FCA Compatível Com Ps4 Joystick Manete Ps4 Pc Cor Preto,14,"58,07",https://www.mercadolivre.com.br/controle-fca-compativel-com-ps4-joystick-manete-ps4-pc-cor-preto/p/MLB27058601#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=14&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=88822ae9-2de8-11f0-90d2-934969bf1531&c_element_id=88822ae9-2de8-11f0-90d2-934969bf1531&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_822135-MLU72731733507_112023-P.webp,2025-05-10 18:48:39.861476
Mercado Livre,Games,Controle Compatível com Console Pc Sem Fio TV Bluetooth Video Game,15,"53,50",https://www.mercadolivre.com.br/controle-compativel-com-console-pc-sem-fio-tv-bluetooth-video-game/p/MLB26899378#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=15&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=88822aea-2de8-11f0-90d2-934969bf1531&c_element_id=88822aea-2de8-11f0-90d2-934969bf1531&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_898941-MLA79452454151_092024-P.webp,2025-05-10 18:48:39.861476
Mercado Livre,Games,"Headset Gamer Evolut Eg306, Led Rainbow, Multi Plataforma Cor Preto Luz Rainbow",16,"77,96",https://www.mercadolivre.com.br/headset-gamer-evolut-eg306-led-rainbow-multi-plataforma-cor-preto-luz-rainbow/p/MLB21050012#c_container_id=not_apply&c_id=%2Fsplinter%2Fcarouseldynamicitem&c_element_order=16&c_campaign=games&c_label=%2Fsplinter%2Fcarouseldynamicitem&c_uid=88822aeb-2de8-11f0-90d2-934969bf1531&c_element_id=88822aeb-2de8-11f0-90d2-934969bf1531&c_global_position=2,https://http2.mlstatic.com/D_Q_NP_670501-MLU77341089745_062024-P.webp,2025-05-10 18:48:39.861476
